age,job,marital,education,default,balance,housing,loan
45,admin.,married,secondary,no,1200,yes,no
32,technician,single,tertiary,no,230,no,yes
58,management,married,tertiary,no,3500,yes,no
28,services,single,secondary,no,-150,yes,yes
41,blue-collar,divorced,primary,no,850,no,no
50,retired,married,secondary,no,600,yes,no
36,entrepreneur,married,tertiary,yes,1500,yes,yes
24,student,single,tertiary,no,100,no,no
62,retired,married,primary,no,4200,yes,no
33,technician,married,secondary,no,500,no,yes
47,management,divorced,tertiary,no,2100,yes,no
29,services,single,secondary,no,-200,no,no
55,admin.,married,secondary,no,1800,yes,yes
38,self-employed,married,tertiary,no,950,yes,no
31,blue-collar,single,primary,no,300,no,no
43,technician,divorced,secondary,no,1100,yes,yes
26,student,single,tertiary,no,50,no,no
59,management,married,tertiary,no,2800,yes,no
35,services,single,secondary,yes,400,yes,yes
48,admin.,married,tertiary,no,1300,no,no
53,retired,divorced,primary,no,550,yes,no
27,technician,single,secondary,no,680,no,yes
40,entrepreneur,married,tertiary,no,2500,yes,no
34,blue-collar,married,secondary,no,720,yes,yes
46,self-employed,single,tertiary,no,1600,no,no
